127.0.0.1 - - [29/Nov/2018:10:42:55 +0800] "GET //lavaFAQ//loginHtml HTTP/1.1" 404 949
127.0.0.1 - - [29/Nov/2018:10:42:59 +0800] "GET //lavaFAQ/loginHtml HTTP/1.1" 404 949
127.0.0.1 - - [29/Nov/2018:10:43:02 +0800] "GET //lavaFAQ/loginHtml HTTP/1.1" 404 949
127.0.0.1 - - [29/Nov/2018:10:43:17 +0800] "GET /lavaFAQ/loginHtml HTTP/1.1" 404 949
127.0.0.1 - - [29/Nov/2018:10:43:22 +0800] "GET /lavaFAQ/loginHtml HTTP/1.1" 404 949
127.0.0.1 - - [29/Nov/2018:10:43:36 +0800] "GET /lavaFAQ/login HTTP/1.1" 404 949
127.0.0.1 - - [29/Nov/2018:10:44:12 +0800] "GET /pages/login/loginHtml HTTP/1.1" 404 993
127.0.0.1 - - [29/Nov/2018:10:44:27 +0800] "GET /lavaFAQ/pages/login/loginHtml HTTP/1.1" 200 5482
127.0.0.1 - - [29/Nov/2018:10:44:27 +0800] "GET /lavaFAQ/css/login2.css HTTP/1.1" 200 5065
127.0.0.1 - - [29/Nov/2018:10:44:27 +0800] "GET /lavaFAQ/css/loading.css HTTP/1.1" 200 998
127.0.0.1 - - [29/Nov/2018:10:44:27 +0800] "GET /lavaFAQ/script/login/login.js HTTP/1.1" 200 4176
127.0.0.1 - - [29/Nov/2018:10:44:27 +0800] "GET /lavaFAQ/script/jquery-1.9.0.min.js HTTP/1.1" 200 93068
127.0.0.1 - - [29/Nov/2018:10:44:27 +0800] "GET /lavaFAQ/images/login_bg.jpg HTTP/1.1" 200 186034
127.0.0.1 - - [29/Nov/2018:10:45:02 +0800] "GET /lavaFAQ/pages/login/loginHtml HTTP/1.1" 200 5482
127.0.0.1 - - [29/Nov/2018:10:45:03 +0800] "GET /lavaFAQ/css/login2.css HTTP/1.1" 200 5065
127.0.0.1 - - [29/Nov/2018:10:45:03 +0800] "GET /lavaFAQ/script/jquery-1.9.0.min.js HTTP/1.1" 200 93068
127.0.0.1 - - [29/Nov/2018:10:45:03 +0800] "GET /lavaFAQ/script/login/login.js HTTP/1.1" 200 4176
127.0.0.1 - - [29/Nov/2018:10:45:03 +0800] "GET /lavaFAQ/css/loading.css HTTP/1.1" 200 998
127.0.0.1 - - [29/Nov/2018:10:45:03 +0800] "GET /lavaFAQ/images/login_bg.jpg HTTP/1.1" 200 186034
127.0.0.1 - - [29/Nov/2018:10:45:03 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [29/Nov/2018:10:45:50 +0800] "GET /lavaFAQ/pages/login/register?username=yufu&password=fuyu%2B123456&mail=yufuc%40isoftstone.com HTTP/1.1" 200 83
